Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,703,Slovakia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,101110945,0
HS,2022,202203,Mar-22,0,0,2,Exports,703,Slovakia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,252198217,0
HS,2022,202203,Mar-22,0,0,1,Imports,705,Slovenia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,78769701,0
HS,2022,202203,Mar-22,0,0,2,Exports,705,Slovenia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,80137862,0
HS,2022,202203,Mar-22,0,0,1,Imports,724,Spain,,842,United States of America,,TOTAL,All Commodities,,,,0.0,3263441330,0
HS,2022,202203,Mar-22,0,0,2,Exports,724,Spain,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1597233649,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,724,Spain,,842,United States of America,,TOTAL,All Commodities,,,,0.0,217232404,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,724,Spain,,842,United States of America,,TOTAL,All Commodities,,,,0.0,3048480,0
HS,2022,202203,Mar-22,0,0,1,Imports,752,Sweden,,842,United States of America,,TOTAL,All Commodities,,,,,503653603,0
HS,2022,202203,Mar-22,0,0,2,Exports,752,Sweden,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1870269289,0
HS,2022,202203,Mar-22,0,0,1,Imports,757,Switzerland,,842,United States of America,,TOTAL,All Commodities,,,,0.0,2111247480,0
HS,2022,202203,Mar-22,0,0,2,Exports,757,Switzerland,,842,United States of America,,TOTAL,All Commodities,,,,0.0,10557438925,0
HS,2022,202203,Mar-22,0,0,1,Imports,768,Togo,,842,United States of America,,TOTAL,All Commodities,,,,0.0,11571661,0
HS,2022,202203,Mar-22,0,0,2,Exports,768,Togo,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1518474,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,768,Togo,,842,United States of America,,TOTAL,All Commodities,,,,0.0,9833,0
HS,2022,202203,Mar-22,0,0,1,Imports,792,Turkey,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1324276730,0
HS,2022,202203,Mar-22,0,0,2,Exports,792,Turkey,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1555476492,0
HS,2022,202203,Mar-22,0,0,1,Imports,804,Ukraine,,842,United States of America,,TOTAL,All Commodities,,,,0.0,67095604,0
HS,2022,202203,Mar-22,0,0,2,Exports,804,Ukraine,,842,United States of America,,TOTAL,All Commodities,,,,0.0,25041827,0
HS,2022,202203,Mar-22,0,0,1,Imports,807,TFYR of Macedonia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,12896012,0
HS,2022,202203,Mar-22,0,0,2,Exports,807,TFYR of Macedonia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,27346528,0
HS,2022,202203,Mar-22,0,0,1,Imports,818,Egypt,,842,United States of America,,TOTAL,All Commodities,,,,0.0,612466324,0
HS,2022,202203,Mar-22,0,0,2,Exports,818,Egypt,,842,United States of America,,TOTAL,All Commodities,,,,0.0,251608378,0
HS,2022,202203,Mar-22,0,0,1,Imports,826,United Kingdom,,842,United States of America,,TOTAL,All Commodities,,,,0.0,7672403711,0
HS,2022,202203,Mar-22,0,0,2,Exports,826,United Kingdom,,842,United States of America,,TOTAL,All Commodities,,,,0.0,5599922454,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,826,United Kingdom,,842,United States of America,,TOTAL,All Commodities,,,,0.0,522965723,0
HS,2022,202203,Mar-22,0,0,1,Imports,854,Burkina Faso,,842,United States of America,,TOTAL,All Commodities,,,,0.0,38520217,0
HS,2022,202203,Mar-22,0,0,2,Exports,854,Burkina Faso,,842,United States of America,,TOTAL,All Commodities,,,,0.0,15857557,0
HS,2022,202203,Mar-22,0,0,1,Imports,860,Uzbekistan,,842,United States of America,,TOTAL,All Commodities,,,,0.0,71376450,0
HS,2022,202203,Mar-22,0,0,2,Exports,860,Uzbekistan,,842,United States of America,,TOTAL,All Commodities,,,,0.0,6411796,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,860,Uzbekistan,,842,United States of America,,TOTAL,All Commodities,,,,0.0,5425493,0
