Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,2,Exports,328,Guyana,,124,Canada,,TOTAL,All Commodities,,,,0.0,1552327,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,328,Guyana,,124,Canada,,TOTAL,All Commodities,,,,0.0,2600,0
HS,2022,202203,Mar-22,0,0,1,Imports,344,"China, Hong Kong SAR",,124,Canada,,TOTAL,All Commodities,,,,0.0,73108883,0
HS,2022,202203,Mar-22,0,0,2,Exports,344,"China, Hong Kong SAR",,124,Canada,,TOTAL,All Commodities,,,,0.0,197547934,0
HS,2022,202203,Mar-22,0,0,1,Imports,348,Hungary,,124,Canada,,TOTAL,All Commodities,,,,0.0,6777356,0
HS,2022,202203,Mar-22,0,0,2,Exports,348,Hungary,,124,Canada,,TOTAL,All Commodities,,,,0.0,20535080,0
HS,2022,202203,Mar-22,0,0,1,Imports,352,Iceland,,124,Canada,,TOTAL,All Commodities,,,,0.0,7206650,0
HS,2022,202203,Mar-22,0,0,2,Exports,352,Iceland,,124,Canada,,TOTAL,All Commodities,,,,0.0,10129305,0
HS,2022,202203,Mar-22,0,0,1,Imports,360,Indonesia,,124,Canada,,TOTAL,All Commodities,,,,0.0,226109523,0
HS,2022,202203,Mar-22,0,0,2,Exports,360,Indonesia,,124,Canada,,TOTAL,All Commodities,,,,0.0,114292927,0
HS,2022,202203,Mar-22,0,0,1,Imports,376,Israel,,124,Canada,,TOTAL,All Commodities,,,,0.0,49696000,0
HS,2022,202203,Mar-22,0,0,2,Exports,376,Israel,,124,Canada,,TOTAL,All Commodities,,,,0.0,144129000,0
HS,2022,202203,Mar-22,0,0,1,Imports,381,Italy,,124,Canada,,TOTAL,All Commodities,,,,0.0,153287318,0
HS,2022,202203,Mar-22,0,0,2,Exports,381,Italy,,124,Canada,,TOTAL,All Commodities,,,,0.0,608849071,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,381,Italy,,124,Canada,,TOTAL,All Commodities,,,,0.0,8596222,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,381,Italy,,124,Canada,,TOTAL,All Commodities,,,,0.0,1981036,0
HS,2022,202203,Mar-22,0,0,1,Imports,392,Japan,,124,Canada,,TOTAL,All Commodities,,,,0.0,1356041336,0
HS,2022,202203,Mar-22,0,0,2,Exports,392,Japan,,124,Canada,,TOTAL,All Commodities,,,,0.0,914180389,0
HS,2022,202203,Mar-22,0,0,1,Imports,417,Kyrgyzstan,,124,Canada,,TOTAL,All Commodities,,,,0.0,568616,0
HS,2022,202203,Mar-22,0,0,1,Imports,428,Latvia,,124,Canada,,TOTAL,All Commodities,,,,0.0,2168520,0
HS,2022,202203,Mar-22,0,0,2,Exports,428,Latvia,,124,Canada,,TOTAL,All Commodities,,,,0.0,3237798,0
HS,2022,202203,Mar-22,0,0,1,Imports,440,Lithuania,,124,Canada,,TOTAL,All Commodities,,,,0.0,2521749,0
HS,2022,202203,Mar-22,0,0,2,Exports,440,Lithuania,,124,Canada,,TOTAL,All Commodities,,,,0.0,18633807,0
