date,avg
2024-10-29 04:31:00+10:00,52.0
2024-10-29 04:39:00+10:00,53.0
2024-10-29 04:39:00+10:00,53.0
2024-10-29 04:42:00+10:00,53.0
2024-10-29 04:42:00+10:00,53.0
2024-10-29 04:46:00+10:00,52.0
2024-10-29 04:46:00+10:00,52.0
2024-10-29 04:54:00+10:00,52.0
2024-10-29 04:54:00+10:00,52.0
2024-10-29 04:56:00+10:00,51.0
2024-10-29 04:56:00+10:00,51.0
2024-10-29 05:00:00+10:00,49.0
2024-10-29 05:00:00+10:00,49.0
2024-10-29 05:06:00+10:00,52.0
2024-10-29 05:06:00+10:00,52.0
2024-10-29 05:08:00+10:00,53.0
2024-10-29 05:08:00+10:00,53.0
2024-10-29 05:10:00+10:00,69.0
2024-10-29 05:10:00+10:00,69.0
2024-10-29 05:19:00+10:00,65.0
2024-10-29 05:19:00+10:00,65.0
2024-10-29 05:20:00+10:00,60.0
2024-10-29 05:20:00+10:00,60.0
2024-10-29 05:27:00+10:00,58.0
2024-10-29 05:27:00+10:00,58.0
2024-10-29 05:33:00+10:00,61.0
2024-10-29 05:33:00+10:00,61.0
2024-10-29 05:35:00+10:00,57.186943054199226
2024-10-29 05:35:00+10:00,57.186943054199226
2024-10-29 05:36:00+10:00,54.0
2024-10-29 05:36:00+10:00,54.0
2024-10-29 05:37:00+10:00,56.0
2024-10-29 05:37:00+10:00,56.0
2024-10-29 05:41:00+10:00,55.0
2024-10-29 05:41:00+10:00,55.0
2024-10-29 05:48:00+10:00,55.0
2024-10-29 05:48:00+10:00,55.0
2024-10-29 05:53:00+10:00,53.0
2024-10-29 05:53:00+10:00,53.0
2024-10-29 05:58:00+10:00,52.0
2024-10-29 05:58:00+10:00,52.0
2024-10-29 06:00:00+10:00,53.0
2024-10-29 06:00:00+10:00,53.0
2024-10-29 06:06:00+10:00,72.0
2024-10-29 06:06:00+10:00,72.0
2024-10-29 06:09:00+10:00,52.0
2024-10-29 06:09:00+10:00,52.0
2024-10-29 06:14:00+10:00,52.0
2024-10-29 06:14:00+10:00,52.0
2024-10-29 06:15:00+10:00,52.0
2024-10-29 06:15:00+10:00,52.0
2024-10-29 06:24:00+10:00,52.0
2024-10-29 06:24:00+10:00,52.0
2024-10-29 06:25:00+10:00,52.0
2024-10-29 06:25:00+10:00,52.0
2024-10-29 06:30:00+10:00,52.0
2024-10-29 06:30:00+10:00,52.0
